message,cyberbullying
ya dur durduğun yerde bi grup andaval işte ne konuştuklarını bilmiyolar,1
bim e indirimli olarak gelmiş bim e gittim vee 4 paket aldım çocuklar kadar mutluyum,0
annem emel’e ensestimsohbet için sadece anneciler gelsinabaza’lar değil,1
dayı soyadına noldu ahshdjg süpersin ya,0
bu benden size gelsin sizi seviyorum be jungkook çok tatlısın lan dfkvmc,0
tanga delisi kuzenim kübraa nasıl göt,1
asla o kadar andaval değiliz,0
büşra tespit cuk oturdu aynı fikirdeyim tek kişiye oynuyor  gayette başarılı,0
elinin körü olarak yaptı dürzü seni,1
beyazlar içinde yine süpersin yakışıklım,0
hele hele sen kim kopekk trollden anlamayan andaval,1
bunlarda adam varmıki ya sarhoş ya dinsiz yada berduş,1
sizlere bir dilegimden bahsetmek istiyorum batmanda müzik,0
iki senedir karadenizde okuma isteğimi arttırma sebebimsin hadi hayırlısı,0
hep laf  ta benim şeyler  cunku senin gibi lanet biri olduğundan,1
tramvayda çıplak ayakla yolculuk yapan bir çocuk ve ayağındaki ayakkabıyı ona giydirip yoluna çorabıyla devam eden bir gen,0
herkesi bekleriz,0
biz bu adamlara mı demokrasi nedir ne işe yarar nasıl hazmedilir diye anlatacağız moral de ihtimal de sıfır yavv,0
siktir amk finalde liverpool real i tokatlarken hatırla beni,1
iddia oranı gibi tarih yazmış bioya ya allahım bu çocuk gerçek bir gerizeka seni alanda ayrı andaval sende ayrı davarsın valla,1
maç sonucu galatasaray 20 beşiktaş,0
müzigi seviyorum cünkü müzik sonsuzdur müzik herkesten herşeyden kacıştır,0
göt korkusu bu olsa gerek,1
hacamat değil de daha çok hacamat olmuş gibi,1
şaşırmadım ama yg senin amk,1
bence gerçeği bu değil bu tamamen bilgisayar similasyonu,0
şu saç tıraşıyla astsubay oldum diyecek denyo,1
amina kodugumun dersleriyle mi ugrasayim yoksa bu iflah olmaz orospu cocuklariyla mi bilemedim,1
modernleşicem diye gavat olmaya gerek yok geri kafalı olmak gavat olmaktan herzaman daha iyidir,1
300 lira kira ne kolide mi yaşıyoruz orospu çocuğu,1
bau tıp öğretim üyemiz prof dr timur gürgan ın başarısı tebrikler hocam,0
siz akşam ayyas kafa ile konusup sabahleyin aksam ne konuştuğunu bilmeyen sığır beyinlersiniz,1
ulan aptal karı senin bu söylemeninle  ona bakarsan osmanlı padişahlarınn eşlerinin hepsi yabancı,1
şu dünyada herkese hakettiğini vereceksin yoksa ebeni ağlatıyorlar,1
suriye ve irak bölgesinde yapılan başarılı operasyonlar son dönemlerde arttı,0
haberden bahsetmiyorum ahmaak herif haber sonuç beğenilmeyince seçimin tekrarlanmasından,1
bir karavan lazım bize sınırsız kahve ve bir sürü kitap bir de deniz manzarası,0
ayşe ile alinin bebeği dünyaya geldi,0
bayadır tweet atmıyormuşum arkadaşlar mutluyum çünkü ,0
canım araya dalmak istemiş alla alla jdjxjsxnjd cüce olmak suç değil cınım jxxjjdxj,1
öyle ölmem amk oğlu pompalıyla vur,1
küçükken çamuru köfte diye yedirdiğim aşırı dangalak kız hukuk okuyor ben sosyoloji ,1
olum bu bildiğin barzo  lan,1
şeyhlerinin tekkelerinin beyinlerine vurduğu prangaları kuran balyozuyla kıramayanlar pislik içinde kalmaya mahkumlarba,0
grup cenabet değil mi bu ya,1
sen zahmet etme ben sana bir sokarım zevkin doruklarina cikarsin,1
çekemiyollar beni dimi aslında tam bir sanat eseri çıkardım ortaya afaggsgahsgsg,0
sanane amıcık,1
yoongi oppa sen güzelsin,0
ne angut insanlar var ya sanki ben sizin anlamsiz sohbetinizi cekmek zorundayim,1
soğuk bi yalanda ilkbahar kadarız,0
kış boyu ziyarete gidilecekler listesine  ilk sıradan girdiniz tebrikler  en kısa zamanda sizi bilgilen,0
ne diyosuun o zaman oldurmayan şerefiz be kanka,1
senigidi ahlak yoksunu namus sarhoşu  iğrenç siyonist devşirmesi zavallı pislik,1
büroda ki sevilay hanıma bu ay içinde yapılaçak 5 düğün davetiyesi geldi kendisini tebrik ediordum oldukca sevilen,0
‘her şey’ ayrı tebrikler,0
saç sakal bir birine karışmış göt göbek almış başını gidiyo akşama kadar pes başından kalkmazdeyyus,1
sende başını mı tutuyordun orda dürzü pezevenk yayınlasana görelim hayatın kolpa yalan yavşak ibne,1
birayı 1tl yapacakmı o önemli,0
 evet yapar o şerefiz ve hazan inanır ona,1
everyday çok güzel şarkı ya,0
aceleyle yapılmış bir makyaj gibi eğreti duruyordu yüzündeki mutluluk,0
bir ay doğarı da açtığımıza göre ağır hassasiyetli efkar moduna geçmişim demektir hadi hayırlısı,0
zehra bu işte başarılı ol ve dimdik ayakta dur,0
çün dedin lahmike lahmi kana kanım merhabâ,0
mutluyum bugün twit atamıyorum,0
güzel götünü sabaha kadar dölemek istiyorum,1
etegini beline kilotunu dizlerine siyir domal duzcem seni,1
tudor hani türkiye nin en güzel hucum oyununu oynatiyorduistanbul bizim karşımızdaki oyununu oynamadı bile11 ki,0
kız doğduğunda babasına cennet kapısı açılır,0
ya sizin o orospu gönlünüzü siksinler tamam mı,1
yavsak kelimesi nin en çok yakıştığı yavsaklardan birisidir kendisi,1
ulan dombili sneijder niye kilo aldın sen niye niye,1
bir insan hem hödük hem hanımcı nasıl olabilir,1
hâlâ beşiktaş o maça çıkacak diyen dangalak var mı,1
düğün pilavı yağlı ballı teksir sıkılgan küçükayı,0
yandaki angut kim ki acaba,1
sen hep süpersin kuzum ama senin ali bir türlü cevap vermiyorki dm lere goruselim,0
murat denen gavat  ulan senin gibi bir karıdan dönme piçin,1
lan bu ibne daha geçen gün intihar etmemişmydi gençliği ölüme sürükler bu pezevenk,1
yaa siz tavuğu beğenmiyorsunuzda her gun biftek yiyorsunuzda madem 100 tl içinmi burda birbirinizi gı,0
bir bitmediniz oruspu çocukları ne kadar hans dürzü varsa hepsi sizsiniz isminizde meymenet yok şerefsizler,1
bu danla bilic denilen şahıs dedikleri kadar gıcıkmış ya komik değil sempatik değil sadece itici beyazshow,1
jiminin söylediği şeyleri söylemeyin,0
bana bak ayyaş vildan senin o merinos saçlarını yolarım şırfıntı,1
bide yavşak yandaşlar kalkıp  gidmesine izin vermişler,1
aklima soktun baska erkegi gelsin artik gelecekse  icindeki fahise harekete gecti sanirsam,1
hepinize başarılar dilerim,0
aptal saptal duygular yaşıyorum,0
herkes şık şık giyinip ekran başına geçiyor düğün var diye bende pijamalarımı giydim halvet bekliyorumjabxhsjxjhskz,0
bunlar varoş bunlar paçoz,1
şişko yanaklı insanları üzmeyin şerefsizler,1
yok mu ayol ağzıma boşal isteyen,1
şok gelişme acun ilicali sosyal medyadaki tüm hesaplarini gönüllülerfc olarak deyişti,0
bu merve niye tayt giyiyor ya survivor,0
simdi makarnaci komurcu diyen gavat deyyuz pezevenk pic serefsiz godos öt veren ipneler takimi buyrun seyredin,1
bu akşam da yağmur damlalı pencereden bakarken radyodaki sanat müziğiyle kahroluyoruz tabi iyi akşamlar,0
yok yok anlarlar  allahın anlasınlar ajajsjdjmem reis sende çok güzelsin,0
deli kan şarkına takıldımm 3 gündür dinliyorum  harikasın tebrikler,0
dürzü godos okey plus yöneticileri puanlarını yedirdiniz amiziza sokuncicuklarin8za kefen parası yapın şerefsizler,1
öyle güzelsin ki tüm bu telaşın kötülüğün ve kaosun içinden ne zaman kaçmak biraz nefes almak istesem durup sana bakıyorum,0
murat süpersin bee,0
dünya ile venüsün yörünge hareketlerinin çizimlendirilmiş hali,0
şu enerjiye bakınhaydi hayırlısı,0
çok sikik insanlarsınız,1
ne konuşuyo bunlar yaa boş tatava yemekteyiz,0
bu saatte ders calismaya basliycam serseri ve inek olmak bunu gerektirir,0
ama pis değilim baksana şu tırnaklarda pislik ne arar,0
neden onu en yüksek makama koymuyorsunuz,0
iyi de problem buraya kadar gelmesinin sebebi de andaval fanlardan kaynaklı fanwar yok yere çıkmıyor,1
daha dur senin götünü bile sikecekler kerhane çocuğu seni,1
şuraya biraz sinema kasayım kızlar ekler belki,0
en güzel düğün duâsı allah sizi sabah namazı kaçırılmayan evlerde yaşatsın,0
maşallah çok mutluyum,0
hollandalardan havlama amcık pezevenk,1
ya bu denize kıyısı olan işletmeciler neden bu kadar andaval,1
realciyiz ama bu zirzop her yerde tetikçilik yapıyor,1
sus lan yarrak sende adamlık olsa bedelli diye kaypaklık edip devlete şekil yapmaya çalışmazsın cibiliyetsiz,1
tam orospu çocukları ya3 günde 600 binimi yedibir sikim çıkmadı paketlerden,1
abi resimdeki asifte fanatigin yayin yonetmeni degil mi,1
ya sussana be kadindus ya susyemekteyiz,0
hele düneke bak onlar bari karşlıkli senın zorlan evde kacisen peşinden kaltak,1
titrek serap,1
amk şahin k kılıklısına bak ya hahahahahhahah utanmaz orospu çocuğu bundan etkileneninde anasını sikim,1
ebeni amna engelle piç takibi birakmisim ben  ebeni de engelle satilik kahpe,1
delta bizim  izmir bizim  uzayan yol bizim biz memnunuz  flamingolarımıza dokunmayın,0
al bu gol sana gelsin gerizeka ultraslancıklar hahahah hadi arabesk söylemeye devam,1
sanat öylesi mucizevi bir şey ki tanımadığın görmediğin ve hatta senden yüzyıllar önce yaşamış insanlarla aynı şeyleri hissediyorsun,0
senin canın salatalık cekmiş ama aradığın salatalık değil kaltak,1
sosyal medya sms ve epostayı geride bıraktı,0
layık olduğunuzla yönetilirsiniz   hadisi islamdaki demokrasi anlayışının özüdür sözüdüryaşasın demokrasi,0
edepsiz barış sayko barış barzo barış,1
şişko yanaklarımı nasıl yok edebilirim enter,0
bize karşı savunma oynayıp 1 puan aldığı için sevinen başakşehir gs ye 5 atıp şov yapıyor  siz neyin kafasını yaş,0
survivor ödül oyunu gönüllüler kazandı tbrklr gönüllüler,0
mutluyum mutlusun mutluyuz,0
futbolun içine sıçtınız beşiktaş camiası da bembeyaz formasıyla sizin o boku temizlemenize izin vermedi,1
hade hayirlisi elinize kuvet,0
kaza ve kaderine rıza gösteren hayırlı ömür salih evlât dünya ve ahirette güzellik ihsan et ana ve babamızı da mağfiret,0
gidenler sanıyorki hergün aynı şarkı çalıyor,0
kaybetmekorkusu nankörlüğün aynadaki yansıması olmalı beklentiler sevgi olmalı insan hayatında,0
babam sadece aracı oluyor ahshahshh o manevi destekçi  ee düğün de yapmayiversinler nikahtan 2 evetl,0
herkese hayırlı huzurlu akşamlar,0
ey peygamber  biz seni bir şahit  bir müjdeleyici  bir uyarıcı  allah ın izniyle kendi yoluna,0
korkma lan yalaka doğruları konuş bi mahkmeye verdiler diye yalama,1
politik pezevenk,1
her dönemde liderlerin etrafında yavşak insanlar toplanır bugün yok mu,1
senin gibi lanet ordan bir dahada benim seylerimi bozmak gibi sakın,1
yavass kessin birde trabzonlusun biz trabzonlulari hem delikanlı ham milli,0
dalyarak bu şimdi mi söylenir,1
konuşarak laf anlatamadiğim ne yaparsam yapayim andaval andaval bakan bağnaz kapali düz ve boş amk çocuklarini sevmiyorum,1
natonun soytarı benzeri özür dilemis şerefli biri olsa böyle kahbelik olmaz sizin ne mal olduğunuzu bilmeyen duymay,1
19 05 aşkın saati galatasaray,0
puşt 7 sülalendir anonim çocuğu,1
cerez tüket cüce yürüü,1
rabbim şükür edenlerden eylesin bizleri,0
flört  hala çok güzelsin,0
insan onun kemiklerini  bizim kesin olarak bir araya  getiremiyeceğimizi mi sanıyor ,0
her biri aşagilik birer militansoytari yurtdisina kacip burada ki enayilere gaz veren hainler,1
yavşak abi akli dengesi bozuk kızkardeşini gene sikiyor kızı az kalsın bogucaktı,1
eskort yada kerhane pezevenk desen daha dogru olmazmi,1
fesli dümbük sesi kes tatava yapma,1
diyarbakır,0
güzelsin güzel,0
ben nasıl çıplaklar plajına mayo ile giremiyorsam  sende haşema ile halk plajlarına giremezsin sapık kocanı da al başka yere git,1
trileçe ne güzel tatlısın,0
cerrahpaşaduruşu hababam sınıfı gibi birbirine bağlı olan bizlerin duruşudur,0
mümkünse mercann düğün bittikten sonra intihar ett içine etme düğünün,0
lebron reyis parkeye kanını akıt o şerefizin,1
kitabını siktiğim çocuğu burnunu sümkürüyomuş ben lavaboya sıçıyo sandım savaş veriyor orospu oğlu,1
yaşayan efsanelerde bugün  cerrahpaşaduruşu,0
cibiliyetsiz kemal,1
hadi beni arayın telefonda size şarkı söylim bugün pek iletişim kurmadım,0
sonuçta sanat eseridir yıkılmasına karşıyız,0
şahin abd tarafından özgürlük ve demokrasi yanlısı gösterilerek türkiye ye iade edilmiyor,0
konuşma lan sikik,1
bütün yüzler asık kıyametin kehaneti gibi,0
erkekler cumadayken size öğüt vereyim kızlar boşuna okuyup sabahlara kadar ders çalışarak gençliğinizi heba etmeyin tek,0
çünkü sen gözümün nurusun,0
bana dönek demiş ittin birisi açığım neyimiş sor hele helee,1
yaptı yine bücür yapacağını,1
takipçi sayımı mutlaka arttırmam lazım,0
benche müzik ritmi tutan hilmi,0
her nefes bizi istikametten ayırma,0
seni seviyorum  1 cümle 2 kelime 13 harf 2 insan ve bir aptal  cemal safi,0
aa tamam sıkıldım dmden salla az da andaval,1
ya bu embesil keşke ölse de dünya bir oksijen israfından kurtulsa,1
mood on abim televizyonumu bilgisayar olarak kullanıyo ve ders çalışıcam diyo vermiyo babamın ne izliyceğini allah bilir ,0
saygı kaideleri çorba etikleri ideolojiler felsefeler 11 çok fena kültürleniyorum,0
survivor hakan kaleci oldu nerdeyse tüm şutları yedi kaleci hatası gönüllüleri kaybettirdi,0
sen yıllarca oku eğitimini al çalış didin ama elin cahili senin yerine çalışsın gaza gelir kitap ister okuyamaz,0
toplum içinde herkes değerini kendi belirliyor sen ezik ezik davranırsan ezilirsin tabi ne bekliyosun başka,1
yarak başı,1
düğün sezonu açıldı evlenicek olan arkadaşlarınızı tagleyin bu fırsatı,0
antalya’da eticaret konferansi vesilesiyle bir yorum elektronik ticaret konusunda turkiye’de piyasa cok daha buyuyor,0
asıl yavşak sensin karaktersiz pust,1
herkes arkamdan konuşuyor egosu var bir de pardon ama sen kimsin ya ezik,1
acele etme 15  2 yılda öğreneceğin bir iş dedikleri işe stajdaki 4ayım bitmeden başladım ,0
merhaba arkadaşlar,0
ebeni nerde ve nasil ebeleyebilirimmciler susmucaniz mi,1
amk mikahınızamı alcaksınız yarak yarak sorular soruyorsunuz alt tarafı bir ilşki,1
hayırlı akşamlar,0
allahım ne olur başıma bişey atsınlar,0
atm’de sıra bekleyen teyze temiz yüzlü çocuk diye seni seçiyor kanki   bizde cezaevinden yeni çıkmışız,0
konuşabilir miyim diyeceği sürede yorum yapsa biter zaten oyy  yemekteyiz,0
ben ulaş abiyle konuştum ben gelemedim dedim üzüldü tam 12 de çıkıp happy birthday  to me diye şarkı söylicekmiş,0
müzik iyi bir sığınaktır insan yaşadıklarına katlanamadığı zamanlarda ona destek verir,0
aşağılık sahtekar şerefsiz utanmaz şu an itibarıyla kimse ülkesine istemiyor bu rezil herifi bunun asıl adı dalyarak,1
talebimiz net emri verenden tetiği çekene valisinden emniyet müdürüne tüm sorumlular yargılansınlar  adalet istiyoruz,0
asaletin ete kemiğe bürünmüş hali,0
bu kızlar spora giderken niye makyaj yapıyor aq,1
64 yaşın altındakiler amk bu nasıl soru,1
görene oluyor gibiköre düğümlenir,0
bu sarhoş kadın minik asferimize zarar vermeye kalkabilir,1
bunları mı sorayım kalkmış bir de üç büyütülmüşler falan yazıyor dingil,1
vay andaval vay,1
fenerbahçe kullanmaktan vazgecin orosbu cocuklari derim,1
bazi insanlar döl israfı aq,1
bae bae 100m olmuş acayip mutluyum,0
bu yalaka ne diyor,1
floryadan içeriye sokmayın bu kahpe çocuğunu,1
lavuk oyle bi bakiyo ki dellendim amk is koyuyo sanki,1
siktir oradan pezevenk,1
kahbe yarak doymamis tam bir fahise,1
başiboş örümceklere sokayim yatağimda ne işin var kevaşe,1
game ower pislik,1
tivit resmen yaniyorum diye bagiriyor cakmak tutsan alev alir adam oyle kizismis hale bak,1
vay amk süper bu kız sabaha kadar sikerim bunu,1
vatan haini serefiz,1
tebrikler sonunda adminin gerçekte olmadığını aslında onun da sen olduğunu keşfettin sevgili dj,0
amina koyduğum papazı ibne göt lalesi,1
bu insan musvettesi orospu cocuklarina her sey mustehakcok sinirlendim ya piclere,1
akardı resmen pezevenk,1
hayırlı mübarek olsun inşallah rabbim hakkıyla ve samimiyetle hizmet etmeyi nasip etsin,0
bffim gavat değil sadece orospu biraz teşekkür ederim doğancım iyi geceler,1
nerede bitmiş bir pislik varsa gündem olmak için millete ve milletin değerlerine saldırıyorlarpavyonda bile iş bulamay,0
aralarında şaka yapıyolar sana ne oluyor andaval,1
olgun cömert ayrıca hijyene önem veren elit beyler nedir amk orospu sikmek bile zor bu devirde,1
ilk kendi bi bok yiyip karşılık alınca da sanki o boku ilk kendi yememiş gibi yha ben naptımm uğraşma yhaa,0
kız arkadaşını erkek arkadaşına siktir kaltak,1
bir gram yaşama hevesim kalmadı kimseyle uğraşmak istemiyorum bütün kötü pislik şerefsiz fesat insanlar mutluluktan,1
çoktan eskisi gibi şarkı söyleyemiyor deniz seki,0
silemem dediğim tüm insanları hayatımdan teker teker sildim huzurluyum lan cok mutluyum,0
varlığın bi boka mı yarıyordu sanki pezevenk,1
adem yine şans demeye başladı 2017 zamanlarına geri döndü yazık yeni ogedayı anil berk baki survivor,0
furki aşkımla o hostes olcak orospu gececi ve bilin bakalım kim sabahçı,1
bana bir şey söyle ilkbahar gibi çiçek aç mesela veya yağ rahmet olarak içime veya gökkuşağı ol sar ruhumu bir şey söy,0
çirkinlik abidesi liboş,1
sarı fırtına ödül oyununda merve ile karşılaştı ve kazandı,0
dusunsenize bu kadinin cocugusunuz ileride boyle bi videosunu goruyosunuz annenizin ne hissedersinizbdjsjs insnlr,0
alın izleyin şunuda beyniniz yansın kendi cinsinizin ne güvenilmez sapkın olduğunu tekrar görün hatırlayın,1
kastamonulu yahudi cenabet,1
bazı insanlar kitap ayraci gibi,0
biz bunlarin hepsine boyle yapanlara boyle konusanlara hirbo diyoruz,1
yaptığınız müzik ile hep mutlu olun ve hiç pişman olmayınkeşke demeyinistediğiniz gibi sonuçlar almadı diye üzülmeyin,0
ender inşaat itinayla kuyu kazılır,0
hiç bir yeri boş bırakma siyasete atılfutbol yorumlakedi sahiplensunum yap slayt özellikle harikasın be,0
biz bırakıp gidebilirdik hocasıyla öğrencisiyle başka okullarda çok güzel ağırlanabilirdik anlamadını mı hala,0
platformu ciddiye aldığın etik kelimesini dilinden düşürmemenden bağlı gelsin çorbanın etiği gitsin,0
demokrasi ödülü alan kemal kılıçdaroğlu’na saldırmaya başlamış kıskanmanız gereksiz,0
solu o şovenist ırkçı ağzına almayacaksın o zaman,1
müzik önerin de indireyim,0
eyüpsultan kültür sanat müzik eğitimi öğrencileri öğrendikleriyle seyirciye müzik ziyafeti,0
ayy aşifte seni yerden yere sikerim arkamdan konuşup stalk yapma böyle yanlışlıkla fav atıp engellersin anca,1
küçücük bir amcik emebilir miyiz,1
çocuk hakkı vardır çocuk bugünün yarını yarının umududur,0
beyinsiz mi lan bu kızharbi beyinsiz ya,1
geber gitmedi şu pezevenk hâlâ,1
versende kurtulsak senden yalama oldun çıktın,1
cerrahpaşaduruşu bir başkadır her sesten insandan yükselen bir şarkıdır,0
yahu siz amma embesil almanlara ne varki satsın  bi söyle bakıyım embesil,1
din dil ırk ayrımı gözetmeksizin huzur barış hoşgörü içinde yaşamak geleceğimizin teminatı olan tüm çocuklarımızın hakkıdır,0
valimiz sayın hüseyin aksoy un katılımlarıyla her zaman yanımdasın çogep projesi kapsamında başarılı öğrencilerle,0
nude isterken size nude makyaj malzemesi atan erkekleri üzmeyin hanımlar,0
bazı insanlar doğarken mi yoksa sonradan mı gerizeka oluyor bilemiyorum iyice bir araştırmak lazım,1
eşi ile günlük hayatta yaşadıklarını anlattan adamın 9 başarılı ve komik çizimi,0
tanışırsak aneni sikerim de orospu da yaparım kaltak kahpe yaparım onu ohh,1
gözler ki senin en katı zulmün ve silahın,0
hangi gerizeka arıtma tesisinin yakınına okul kuralık dedi amk hamam gibi sınıfta ders işlediğimiz yetmiyor gibi,1
olum 110 a bana geldi zaten ben sana güzellik yapmazmıyım gerizeka,1
bu pomçik artık serseri olmak istiyor,1
lan amcık sen kimi kandırıyon yavşak ilk beşini say hocanın adı ne senin amınoğlu,1
bunları rahatsız eden bünyeleri orospu çocugu haysiyetli birşey alerji yapar kahpe karıdan,1
bazı mention atanlara sus lan sikik diyesim geliyor ama boşver diyip blockluyorum,1
izmirin otobüsleri niye gemi gibi amk,1
seninle beraber bu kutlu yolda ,0
senin nasıl bir dönek olduğunu cümle alem biliyor,1
kudurr barzo,1
yalar yalar sikerim guzelim,1
etegını sıyırıp gotten sokarım,1
günaydın amcık,1
herif tam bir cibiliyetsiz oç çıktı ya,1
tebrikler abicim bol şans diliyorum,0
makyaj yapmak çok güzel bi şey ama temizlemeye gelince zaman geriye aksın diye bağırmak istiyorum,0
harbi harbi perinçekçiler kadar dönek tayfa görmedim ömrü hayatımda yav bu ne hız hem bahçelici hem reisci oldular bir anda şoktayim,1
sanki ceo değil de yirmi üç nisanda ceo yerine koltuğa oturtturulmuş çocuk ya ısırabilsem keşke,0
dişimi çektirdim canım çok acıyor bundan da sen sorumlusun şırfıntı eltim çünkü o çikolataları senin sinirinden yedim de çürüdü dişlerim,1
senin ananı sikerim onun bunun çoçuğu,1
bu ne sıcak pezevenk dönüşte burda olma,1
kendin çık ozaman lavuk makatın yiyosa dürzü,1
dönek oldukları için dik duruşu olanları omurgasızlar oldukları için omurgalıları hiç sevmezler iftira atarlar yalan,1
ana ben seni kulampara sanıyordum,1
çok tatlı ya,0
hem sen niye gittin ki,0
süpersiniz hocam severek takip ediyoruz,0
daha lavuk dun yanimizda agliyordu kimseyle kafam uyusmuyor diye simdi fink atiyot milletle aw,1
en son ne zaman masturbasyon yaptin ,1
iyi bakın bu fotoğrafa hayallerine emeklerine geleceklerine bi ses çıkaran beyaz önlüklüler bunlar,0
allah kabul etmeyeceği duayı ettirmez,0
gülmekten karnınızı ağrıtacak en iyi  komedi filmi bu,0
tatlım kaşına faça atmışsın ama inan ki korkmadım senin serseri kız tavır ve ayakların bana sökmez,1
naber berduş,1
nilüferşov yapma şarkısını armağan ediyorum bazılarına,0
tipsiz herif gavur kim bir aynaya bak yavşak,1
o gotunu yalarak amini cildirtayim amini gotunu yalar emer dil atar içine kalın yarak koklerim catir catir sikerim,1
helal amına koduğumun kızı ilaç içerken storye attın ve ünlü oldun orospu fırlama seni,1
sanane be gerizeka yaratık insanın karisindan sen ne olduğuna bak yalaka,1
beni kendine benzetmeden sevemezmisin,0
pislik bu ya süpürge hortumunun içi hep toz pislik saç toplama için ayrı hortum kullanmıyorsa tabii,1
kulampara gay olmadığı halde erkeklerce istismara uğrayan genç erkek,0
herkes gidecek koltuklar değişecek ama şu ağlatan şu gururlu duruş daim kalacak okulumla tüm öğrenci ve hocalariyla gurur duyuyorum,0
aşk bizim bitirdiğimiz ayarladığımız veya kontrol ettiğimiz bir şey değildir aşk sanat gibidir,0
lan cüce değilim bee sşxöşsşd sadece benden uzunsundur diye şaaptım hıh şsöxşdş 165,0
bak bak nasıl bağlamış sonunu denyo bir de fatiha okuyalım mübarek bayramın aşkına dingil oğlu dingil siktir gidin l,1
bir bebeğin doğduğu  an kadar güzel hiç bir şey yok,0
çok güzel oldu bu defol gidersin şimdi kahpe evladı,1
herkes makyaj ve elbise derdinde ben oy derdinde,0
sinema filmlerinde ağla,0
bu şey değil mi ya herkesi ezen ama kendi şişko olan defne dkmcmdnbdjd,1
adalet halkin ellerinde,0
biraz once demet özdemir ben yanlız makyaj videolari cekmiyorum yaptığım isleri koyuyorum youtube a gibi birsey dedi,0
mükemmel bi karı ya bağırta bağırta sikiceksin orospu gavat kocası da mutlu olacak,1
sorsan demokrasi der ama su twiti ya bir gerizeka atar yada demokrasiden nefret eden birisi,1
gecenin de hayırlısı cemaat,0
o ne lan iki tane 1 puan var,0
ben diyetteyim çikolata yiyemiyom isteğim benim yerime kendin bi çikolata ye,0
her yıl kitap fuarıyla ilgili övgü dolu yazılar ele alan yerel gazetelerin genel yayın yönetmenleri ve başyazarları bu fuarda,0
terk edilmiş evlerde hayal gibi yankılanan sen böyle güzelsin,0
vay be kardeşim 1 hafta namaz kılma sadece cumaya git cennetliksin tebrikler orospu çocuğu baya akıllı çıktın,1
amk ibne igs,1
yırt götünü alçak omurgasız işid masum askerimizi yakarken sessiz kaldın ya pezevenk senin ta ,1
insanı insan yapan içindeki imandır rabbim doğru yoldan ayırmasın,0
izmir gediz deltasına körfez geçiş otobanı yapılmasın flamingolar yok olmasın,0
hiç ellerin tasi bana degmez ille dostun gülü yaralar beni hayirli günler günaydin,0
şimdi tüm vicdanlı insanlarıma soruyorum,0
siktir puşt,1
tam kitabı elime alıyorum ders çalışmak için 5 dakika geçmeden bir uyku çöküyor üzerime sonra kitap biyerde ben biyerde,0
ya adam cüce duyarı kastı,0
uraz ın kızını anlatışı harikaydı baba olmak çok yakışıyor helall,0
iffet gereklerine aldırmayan kadın iffetsiz oynak kadın aşifte,1
neden güzel olan her şeyin üzerine beton yapmak gibi bir psikoloji içindesiniz,0
tebrikler ama düğün yarın değilmiydi,0
amcık suyunu içsem snein,1
bana dert yanarsan ebeni zkerim tavsiyesinde bulunurum bence güzel tavsiye,1
bu ney lan senin ben doguranlarini sikerim dostum yasadigin coskuya bak az utan amina godumun kulampara labunyasi,1
merhaba yaşadığın olumsuz deneyim için  üzgünüz konuyla ilgili geri dönüş sağlayabilmemiz için iletişim bilgilerimiz,0
orrossppuu coouugguu mıstafa yuuhh yosma dedş ya,1
senkimsindeadıhafızadanbahsediyorsunbizimhafizamizreisden yana çalışırsen kimsindekendinmi zanettin hain pislik,1
ulan angut bir halt bilmiyorsan boş boş konuşma,1
takamadan ölüp gidecem demek ki,0
aynençalışan amcik pardon demir pas tutmaz,1
demezlermi  birde neden ağzın bu kadar bozuk  ulan amına koduğumm sikerim senin fakir edebiyatını,1
gelde domal bakayım yavrum sikiyormuyum sikemiyormuyumm yırtayım amını kökleyerek boş boş  konuşuyor,1
dursun özbek geldiğin güne lanet olsun uğursuz korkak yalaka herif tudor unuda al siktir git,1
beyazshow vasatın altında kadro sıfırın altında sıfır resmen,0
abd rıza zarrab olayında kendi koyduğum hukuka uymadı,0
lan dünkü bok sen ne cibiliyetsiz bir şeymişsin be doğarken senin kulağına üç kere karaktersiz mi dediler anlamı,1
ben 2 milyon yıldır izmir de yaşıyorum ya siz yaşadığım topraklara otoban yapılmasın izmirkuşlaramezarolmasın https,0
senin için emek vermek demek pislik yapmak demek dimi,1
ciddi olamazsın bu fizigemi gecelik dombili bu kadın ama 850 istiyorsunuz yapmayın lütfen 22 yaşı,1
nereden açtım şu programı ya sarışın kadın entelektüel tarz adı altında zerre susmuyor kafam şişti ve kumanda bozuldu,0
şaşırmam  ali dediler şimdide in ali diyecekler bir gün oda inecek sorun yok,0
kim bu gizli beğenen hesap mal salak gerizeka kendini belli et körebe oynamıyoruz,1
temmuzda orda işimiz ne kızım düğün haziranda bayram haftasına denk geliyor,0
abaza herif,1
son karedeki bu benim için çocuk oyuncağı edasındaki sırıtışa ne demeli,0
şu sitede ifşa ve ispiyonculuktan daha boktan bir şey yok şerefiz kompleksli oçları,1
bu ogretmen olan hanim cok itici biriallah bunun ögrencilerine sabir versin böyle ruh hastasi kisiler cocuklarim,1
dünyanın en tatlı ablasıı,0
demokrasi insan hakları hukuk diyenler,0
ulan amcık selo gezide darbeyi gördük diyip mi bir araya geliniyor mücadele veren gençlerle,1
kışın mezarlıkta ayrı bir sıkıntı resmen çamur oldu kabir allah herkese hayırlı ölüm nasip etsin,0
süpersin canım benim,0
